Operation,Line Number*,Type,Buyer Item Number,Supplier Item Number*,Short Name*,Item Description*,UNSPSC**,Category ID**,Is Active*,Keywords,Lead Time (in Days)*,Currency Code*,Price*,UOM*,Organization Entity,Item specification,Supported UOM,Conversion Factors For Supported UOM WRT UOM**,Price Per Supported UOM**,Manufacturer,Manufacturer Part Number,Manufacturer Model Number,Minimum Order Quantity,Maximum Order Quantity,Banding,Is Tax Exempt,Contract Number,Contract Line Number,Start Date*,End Date*,GTIN,Image Name,Image URL
"","12838","Material","262553","262553","VAC BAGS,TYPE Z,SANITAIRE","","","","Yes","","1","USD","118.940","CS","","","CS","1","118.940","BISSELL HOMECARE","63881A","","1","999999","","No","","","03/06/2023","12/31/2099","","262553.jpg","https://www.nacorporation.com/ItemImages/Summit/262553.jpg"
"","12615","Material","174933","174933","POLISH,STAINLESS STEEL,AEROSOL","","","JANITORIAL/CLEANING CHEMICALS","Yes","POLISH,STAINLESS STEEL,AEROSOL,OIL,174933,174063,,,0","1","USD","50.270","CS","","","CS","1","50.270","Claire Manufacturing","CL841","","1","999999","","No","","","02/28/2023","12/31/2099","","",""
"","10523","Material","EUR083","EUR083","VAC BAGS,PAPER,SANITAIRE,LS3 P","  Manufacturer Eureka ","","","Yes","BAG, VACUUM, PAPER, LS 3 PACK,EUR083,EUR083,Eureka ,,925","1","USD","5.940","PK","","","PK","1","5.940","BISSELL HOMECARE","63256A","","1","999999","","No","","","10/20/2022","12/31/2099","","EUR083.jpg","https://www.nacorporation.com/ItemImages/Summit/EUR083.jpg"
"","10543","Material","PRO025","PRO025","SWITCH,ROCKER,ONOFF,1500XP,PR","  Manufacturer ProTeam","","","Yes","SWITCH,ROCKER,ON/OFF,1500XP,PROTEAM,PRO025,105147,ProTeam,,925","1","USD","9.430","EA","","","EA","1","9.430","ProTeam","105147","","1","999999","","No","","","10/20/2022","12/31/2099","","PRO025.jpg","https://www.nacorporation.com/ItemImages/Summit/PRO025.jpg"
"","10560","Material","PRO131","PRO131","CLOTH BAG DOME FILTER","","","","Yes","","1","USD","16.590","EA","","","EA","1","16.590","ProTeam","100564","","1","999999","","No","","","10/20/2022","12/31/2099","","PRO131.jpg","https://www.nacorporation.com/ItemImages/Summit/PRO131.jpg"
"","12616","Material","199913","199913","PADS,FLOOR,12,BLACK,7200,STRI","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","8.220","CS","","","CS","1","8.220","3M Commercial Care","7000028441","","1","999999","","No","","","01/13/2023","12/31/2099","","199913.jpg","https://www.nacorporation.com/ItemImages/Summit/199913.jpg"
"","10581","Material","PRO269","PRO269","HOSE POWER HEAD ASM","","","","Yes","HOSE POWER HEAD ASM,PRO269,,ProTeam,,0","1","USD","2.580","EA","","","EA","1","2.580","ProTeam","510252","","1","999999","","No","","","11/15/2022","12/31/2099","","",""
"","10606","Material","WIN897","WIN897","BRUSH,SIDE,9.5,NYLON,BLACK","","","","Yes","BRUSH, SIDE, STV24,WIN897,8.634-216.,Windsor,,0","1","USD","23.910","EA","","","EA","1","23.910","Windsor","86342160","","1","999999","","No","","","01/31/2023","12/31/2099","","WIN897.jpg","https://www.nacorporation.com/ItemImages/Summit/WIN897.jpg"
"","9151","Material","017270","017270","KNIFE, PUTTY, 114","1.25 width, high carbon, stiff, steel blade.  Molded plastic handle will not absorb grease or oil. Grommet hole for easy storage.   Size 1.25 Effective  IndoorOutdoor QtyCs 1","","PACKAGING PARTS/SUPPLIES","Yes","Putty Knife,017270,GRE 15PKS,Great Neck ,,926,1,1.25","1","USD","2.010","EA","","","EA","1","2.010","Essendant","GNS15PKS","","1","999999","","No","","","04/02/2022","12/31/2099","","017270.jpg","https://www.nacorporation.com/ItemImages/Federal/017270.jpg"
"","9163","Material","019314","019314","FRESHENER,CURVE,AIR,CME","Convenient, consistent odor control. Place these air fresheners anywhere with the accompanying easytouse holder. Freshens consistently for 30 days. By using the unique date tabs, youll know when to replace it, ensuring a consistently fresher smelling area. Powerfulcontains 50100x more fragrance than standard rimsticks. Green. Scent Cucumber Melon Physical Form Solid Application Odor Control Capacity Weight 44.12 g.   Global Product Type Air FreshenersOdor EliminatorsSolid Refill   Scent Cucumber Melon   Physical Form Solid   Application Odor Control   Capacity Weight 44.12 g   Packing Type Box   Colors Green   PreConsumer Recycled Content Percent 10   PostConsumer Recycled Content Percent 0  Total Recycled Content Percent 10  Special Features Green,this   More...   Manufacturer Solo","","JANITOR CARTS AND ACCESSORIES","Yes","FRESHENER,CURVE,AIR,CME,019314,,Solo,,0,1,4","1","USD","116.190","CT","","","CT","1","116.190","Essendant","BWKCURVECMECT","","1","999999","","No","","","03/31/2023","12/31/2099","","019314.JPG","https://www.nacorporation.com/ItemImages/Essendant/019314.JPG"
"","12123","Material","257101","257101","WIPE,DISINFECTANT,GERMICIDAL,7","Trusted by more hospitals than any other bleach wipe to kill C. difficile spores. Clorox Healthcare  Bleach Germicidal Wipes can be used almost anywhere to clean and disinfect hard, nonporous hospital surfaces.      Size 70 Count Dilution RTU QtyCs 6","","JANITORIAL/CLEANING CHEMICALS","Yes","Bleach Germicidal Wipes,257101,CLO 35309,Clorox,,274,6,70 Count","1","USD","55.100","CS","","","CS","1","55.100","The Clorox Company","35309","","1","999999","","No","","","09/27/2022","12/31/2099","","257101.jpg","https://www.nacorporation.com/ItemImages/Summit/257101.jpg"
"","12665","Material","666505","666505","PLUG,FEMALE,3 PRONG,15 AMP,125","  Manufacturer Century Wire  Cable ","","","Yes","PLUG,FEMALE,3 PRONG,15 AMP,125 VOLT,666505,,Century Wire & Cable ,,925","1","USD","7.440","EA","","","EA","1","7.440","Century Wire","NEMA 5-15C","","1","999999","","No","","","11/16/2022","12/31/2099","","666505.jpg","https://www.nacorporation.com/ItemImages/Summit/666505.jpg"
"","12481","Material","205853","205853","MOP,FIN,CUT,16,WHI,RAYON,1,EC","4 ply rayon finish mop that evenly releases finish for a smooth and glossy floor. Its strong 4ply yarn stands up to the toughest applications. This mop is excellent for facilities that do not have laundry capabilities and desire an economical finish mop to dispose of after use.   Size 16 Color White Material Rayon Headband 1.25 QtyCs 2 Manufacturer North American Corporation","","JANITOR CARTS AND ACCESSORIES","Yes","Linestar finish mop,205853,AEW3016,North American Corporation,EcoSelect,308,#16,2","1","USD","5.270","PK","","","PK","1","5.270","Golden Star Inc","AEW3016-2PK","","1","999999","","No","","","09/22/2022","12/31/2099","","205853.jpg","https://www.nacorporation.com/ItemImages/Summit/205853.jpg"
"","12482","Material","205854","205854","MOP,FIN,CUT,20,WHI,RAYON,1,EC","4 ply rayon finish mop that evenly releases finish for a smooth and glossy floor. Its strong 4ply yarn stands up to the toughest applications. This mop is excellent for facilities that do not have laundry capabilities and desire an economical finish mop to dispose of after use.   Size 20 Color White Material Rayon Headband 1.25 QtyCs 2 Manufacturer North American Corporation","","JANITOR CARTS AND ACCESSORIES","Yes","Linestar finish mop,205854,AEW3020,North American Corporation,EcoSelect,308,#20,2","1","USD","6.660","PK","","","PK","1","6.660","Golden Star Inc","AEW3020-2PK","","1","999999","","No","","","09/21/2022","12/31/2099","","205854.jpg","https://www.nacorporation.com/ItemImages/Summit/205854.jpg"
"","12483","Material","388084","388084","SOAP,HAND,BULK,WAXIE,WHITE,1GA","","","HAND CLEANERS AND DISPENSERS","Yes","SOAP,HAND,BULK,WAXIE,WHITE,1GAL,388084,,Midlab,,0,100,29 x 45","1","USD","40.460","CS","","","CS","1","40.460","Midlab","388084","","1","999999","","No","","","03/09/2023","12/31/2099","","",""
"","12484","Material","480045","480045","GLOVES,NITRILE,MED,POWDER FREE","  Manufacturer Safety Zone","","","Yes","Gloves, Nitrile, Powder Free,480045,GNPR-MD-1E,Safety Zone,,153,,100,Med","1","USD","3.530","BX","","","BX","1","3.530","Safety Zone","GNPR-MD-1E","","1","999999","","No","","","03/31/2023","12/31/2099","","480045.jpg","https://www.nacorporation.com/ItemImages/Summit/480045.jpg"
"","12485","Material","EUR045","EUR045","VAC PART,FAN BLOWER MOTOR","","","","Yes","","1","USD","4.060","EA","","","EA","1","4.060","BISSELL HOMECARE","12988SAN","","1","999999","","No","","","09/26/2022","12/31/2099","","",""
"Create","12918","Material","998486","998486","URINAL SCREEN,OCEAN BREEZE,AIR","30 days of high frequency fragrancing. Unique design eliminates virtually all splash back. Designed to fit virtually all shapes and sizes of urinals. Stronger and longer lasting fragrance.   Color Blue Fragrance Ocean Breeze QtyCs 12 Manufacturer North American Corporation","","JANITOR CARTS AND ACCESSORIES","Yes","Urinal Screen, Ocean Breeze,998486,149536P-95,North American Corporation,Air Select,292,12","1","USD","15.990","BX","","","BX","1","15.990","Impact Products","998486","","1","999999","","No","","","04/13/2023","12/31/2099","","998486.jpg","https://www.nacorporation.com/ItemImages/Summit/998486.jpg"
"","12666","Material","850232","850232","TOWEL,MFOLD,KLEENLINE,9.125X9.","  Size 9.25x9.4 Color White  Ply 1 TwlsPk 250 PacksCs 16 QtyCs 4,000 LEED Yes Manufacturer North American Corporation","","PERSONAL PAPER PRODUCTS","Yes","Multifold Towel,850232,850232,North American Corporation,,214,4,000,9.25x9.4","1","USD","25.450","CS","","","CS","1","25.450","Kimberly-Clark","88001-01","","1","999999","","No","","","03/31/2023","12/31/2099","","",""
"","12667","Material","WKN424","WKN424","ROLLER BRUSH PACKAGED","","","JANITORIAL/CLEANING CHEMICALS","Yes","ROLLER BRUSH PACKAGED,WKN424,,Windsor,,0","1","USD","28.190","EA","","","EA","1","28.190","Windsor","47624000","","1","999999","","No","","","01/03/2023","12/31/2099","","",""
"","12767","Material","174936","174936","AP CLEANER,UTILITY FOAMING AER","","","JANITORIAL/CLEANING CHEMICALS","Yes","AP CLEANER,UTILITY FOAMING AEROSOL,174936,174936,,,340","1","USD","38.080","CS","","","CS","1","38.080","Claire Manufacturing","CL862","","1","999999","","No","","","02/28/2023","12/31/2099","","",""
"","12503","Material","101626","101626","DISPENSER,SOAP,1000ML,WHITE,KC","Soap dispenser maintenance is quick and easy. The new Kleenex cassette skin care System dispenser offers easy, no fuss refill loading, and flexibility to refill with any cassette skin care foam or liquid formula. High capacity format requires less frequent refilling than standard systems. Easy to load and install design.  Hygienic, flexible system reduces packaging waste by 54. Made of durable ABS plastic.   Size 1000 mL Color White QtyCs 1","","HAND CLEANERS AND DISPENSERS","Yes","Hand Sanitizer Dispenser,101626,92144,Kimberly-Clark Professional,Kleenex?,902,1,1000 mL","1","USD","2.280","EA","","","EA","1","2.280","Kimberly-Clark","92144","","1","999999","","No","","","10/06/2022","12/31/2099","","101626.jpg","https://www.nacorporation.com/ItemImages/Summit/101626.jpg"
"Update","12504","Material","160641","160641","DISPENSER,HRT,PROP,MOD M,MODUL","","","PERSONAL PAPER PRODUCTS","Yes","","1","USD","1.120","EA","","","EA","1","1.120","Kimberly-Clark","34375","","1","999999","","No","","","04/18/2023","12/31/2099","","160641.jpg","https://www.nacorporation.com/ItemImages/Summit/160641.jpg"
"Update","12505","Material","160645","160645","DISPENSER,HRT,PROP,MOD SS,NARR","","","PERSONAL PAPER PRODUCTS","Yes","","1","USD","44.790","EA","","","EA","1","44.790","Kimberly-Clark","31498","","1","999999","","No","","","04/18/2023","12/31/2099","","",""
"","12519","Material","185767","185767","MOP,MICROFIBER,18,DISPOSABLE","","","JANITOR CARTS AND ACCESSORIES","Yes","MOP,MICROFIBER,18,DISPOSABLE,185767,,,,0,1200ct,4","1","USD","102.630","CS","","","CS","1","102.630","UNIMED-MIDWEST,INC.","TMMP446018","","1","999999","","No","","","10/13/2022","12/31/2099","","",""
"","12897","Material","161372","161372","URINAL SCREEN,KLEENLINE,CUCUMB","","","JANITOR CARTS AND ACCESSORIES","Yes","URINAL SCREEN,KLEENLINE,CUCUMBER TW,161372,,Fresh Products,,0,1,14.25x10.25x13","1","USD","15.630","PK","","","PK","1","15.630","Fresh Products","161372","","1","999999","","No","","","04/04/2023","12/31/2099","","",""
"","12898","Material","161373","161373","URINAL SCREEN,KLEENLINE,CLN CO","","","JANITOR CARTS AND ACCESSORIES","Yes","URINAL SCREEN,KLEENLINE,CLN COTTON,161373,,Fresh Products,,0,1,14.25x10.25x13","1","USD","15.630","PK","","","PK","1","15.630","Fresh Products","161373","","1","999999","","No","","","04/04/2023","12/31/2099","","",""
"","9192","Material","039970","039970","SQUEEGEE,18,WATERWAND","Digs deep into tile crevices and uneven surfaces to remove liquids, leaving floor finger dry. Removes dirt from grout. Rustresistant galvanizedsteel socket accepts any tapered handle not included. Black natural foam rubber blade. Disposable. Straight. Blade Material Foam Rubber Blade Width 18 Handle Material Galvanized Steel Blade Color Black.   Global Product Type Squeegees   Blade Material Foam Rubber   Blade Width 18   Handle Material Galvanized Steel   Blade Color Black   For Use With Unger  AL140   PreConsumer Recycled Content Percent 0   PostConsumer Recycled Content Percent 0   Total Recycled Content Percent 0  Special Features Straight,this   More... ","","JANITOR CARTS AND ACCESSORIES","Yes","SQUEEGEE,18,WATERWAND,039970,,Solo,,0,3.95x4.05,48","1","USD","8.450","EA","","","EA","1","8.450","Essendant","UNGMW450","","1","999999","","No","","","03/31/2023","12/31/2099","","039970.JPG","https://www.nacorporation.com/ItemImages/Essendant/039970.JPG"
"Update","9230","Material","101665","101665","CONTAINER,23 GALLON,GRAY,VENTE","Features innovative patentpending solutions that increase efficiency and improve worker wellbeing. Integrated, patentpending venting channels take the strain out of liner removal. Moldedin handles and base grips make lifting and emptying easier. Spacesaving profile fits virtually anywhere.    size 23 Gallons Color Gray QtyCs 1 Manufacturer Rubbermaid","","JANITOR CARTS AND ACCESSORIES","Yes","Container w/Venting Channel,101665,FG354060GRAY,Rubbermaid,Slim Jim,326,1,23 Gallons","1","USD","38.010","EA","","","EA","1","38.010","NEWELL BRANDS DISTRIBUTION,LLC","FG354060GRAY","","1","999999","","No","","","05/01/2022","12/31/2099","","101665.jpg","https://www.nacorporation.com/ItemImages/Summit/101665.jpg"
"","9231","Material","101750","101750","PADS,FLOOR,4.75X10,TILEGROU","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","26.020","EA","","","EA","1","26.020","Square Scrub","P0511TGBV","","1","999999","","No","","","01/05/2023","12/31/2099","","101750 .jpg","https://www.nacorporation.com/ItemImages/Summit/101750 .jpg"
"","9232","Material","101752","101752","PADS,FLOOR,5.25X10.5,MAROON,","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","42.130","CS","","","CS","1","42.130","Square Scrub","P0511SHO","","1","999999","","No","","","01/05/2023","12/31/2099","","101752.jpg","https://www.nacorporation.com/ItemImages/Summit/101752.jpg"
"","12457","Material","889618","889618","FEMININE,PAD,8,NATURELLE","Stayfree  Classic Napkins are the only nationally advertised brand available for vending. Stayfree is a name women know and trust.  Size 8x2.25x.875 Type Maxi QtyCs 250 Manufacturer Impact Products ","","PERSONAL PAPER PRODUCTS","Yes","Maxi Sanitary Napkin #8,889618,25131073,Impact Products ,,179,250,8x2.25x.875","1","USD","50.050","CS","","","CS","1","50.050","Impact Products","25131073","","1","999999","","No","","","03/31/2023","12/31/2099","","889618.jpg","https://www.nacorporation.com/ItemImages/Summit/889618.jpg"
"","12695","Material","136973","136973","DUSTPAN,LOBBY,PLASTIC,WWHEELS","Durable rear wheels improve wear resistance. Ideal for use in malls, restaurants and lobbies. Will not stain, discolor or absorb odors. Adjustable handle grip enhances user comfort Optional hanger bracket 2535 allows for easy pan and broom transport and storage. Bracket and brooms sold separately.     Size 12 Color Black QtyCs 1 Manufacturer Rubbermaid","","JANITOR CARTS AND ACCESSORIES","Yes","Lobby Dust Pan ,136973,FG2531,Rubbermaid,,912,1,12","1","USD","10.860","EA","","","EA","1","10.860","NEWELL BRANDS DISTRIBUTION,LLC","FG253100BLA","","1","999999","","No","","","12/06/2022","12/31/2099","","136973.jpg","https://www.nacorporation.com/ItemImages/Summit/136973.jpg"
"","9267","Material","104457","104457","REMOVER,GRAFFITI,ERASER PADS,3","Soft, flexible pad cleans many surfaces and is safe for indirect food contact areas. Innovative white polymeric foam erases hardtoclean stains, marks and scuffs. Unique blue urethane layer provides durability and keeps hands away from messes. Easytouse Simply wet pad and squeeze out excess water. Use white side of pad to erase marks. Use blue side to wipe away residue.    Size 4.5 x 2.8 Dilution RTU QtyCs 12 Manufacturer 3M  Manufacturer Item 7007128392","","JANITOR CARTS AND ACCESSORIES","Yes","Griffiti Remover,104457,70071283926,3M,Scotch-Brite,351,12,4.5 x 2.8","1","USD","11.830","CS","","","CS","1","11.830","3M Commercial Care","7100032938","","1","999999","","No","","","12/31/2022","12/31/2099","","104457.jpg","https://www.nacorporation.com/ItemImages/Summit/104457.jpg"
"","9268","Material","104945","104945","MOP,DUST,MICROFIBER,5X48,GREEN","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","93.670","CS","","","CS","1","93.670","NEWELL BRANDS DISTRIBUTION,LLC","FGQ44900GR00","","1","999999","","No","","","05/01/2022","12/31/2099","","104945.jpg","https://www.nacorporation.com/ItemImages/Summit/104945.jpg"
"","9269","Material","104949","104949","MOP,DUST,MICROFIBER,24,GREEN,","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","105.300","CS","","","CS","1","105.300","NEWELL BRANDS DISTRIBUTION,LLC","FGQ42400GR00","","1","999999","","No","","","05/01/2022","12/31/2099","","104949.jpg","https://www.nacorporation.com/ItemImages/Summit/104949.jpg"
"","9270","Material","105331","105331","COVER,SHOE,TREADS,LARGE","","","","Yes","","1","USD","36.030","PR","","","PR","1","36.030","Impact Products","7313L","","1","999999","","No","","","02/28/2023","12/31/2099","","",""
"","9271","Material","105334","105334","COVER,SHOE,TREADS,XLARGE","","","","Yes","","1","USD","36.030","PR","","","PR","1","36.030","Impact Products","7313XL","","1","999999","","No","","","02/28/2023","12/31/2099","","",""
"Create","12919","Material","998490","998490","URINAL SCREEN,CUCUMBER MELON,A","30 days of high frequency fragrancing. Unique design eliminates virtually all splash back. Designed to fit virtually all shapes and sizes of urinals. Stronger and longer lasting fragrance.  Color Light Green Fragrance Cucumber Melon QtyCs 12 Manufacturer North American Corporation","","JANITOR CARTS AND ACCESSORIES","Yes","Urinal Screen, Cucumber Melon,998490,149736P-95,North American Corporation,Air Select,292,12","1","USD","13.010","BX","","","BX","1","13.010","Impact Products","998490","","1","999999","","No","","","04/18/2023","12/31/2099","","998490.jpg","https://www.nacorporation.com/ItemImages/Summit/998490.jpg"
"Create","12920","Material","ERK016","ERK016","VAC PARTS,BELT STYLE C","","","","Yes","","1","USD","3.010","EA","","","EA","1","3.010","BISSELL HOMECARE","2778","","1","999999","","No","","","04/18/2023","12/31/2099","","",""
"Create","12921","Material","ERK017","ERK017","VAC PARTS,AGITATOR ASSY","","","","Yes","","1","USD","75.610","EA","","","EA","1","75.610","BISSELL HOMECARE","1619104","","1","999999","","No","","","04/18/2023","12/31/2099","","",""
"","9273","Material","105393","105393","FRAME,MICROFIBER MOP,36,RUBBE","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","124.030","CS","","","CS","1","124.030","NEWELL BRANDS DISTRIBUTION,LLC","FGQ58000YL00","","1","999999","","No","","","05/01/2022","12/31/2099","","105393.jpg","https://www.nacorporation.com/ItemImages/Summit/105393.jpg"
"","9274","Material","105456","105456","MOP,DUST,MICROFIBER,36,GREEN,","Splitblended HYGEN dust mops trap and lock away dust, dirt, and debris.  Dust mopping prior to damp mopping reduces floor hazing and best maintains floor finish.  Fringes dust mop improves debris pickup.  Size 36L x 5.5W x 5H Color Green Material 12 Manufacturer Rubbermaid","","JANITOR CARTS AND ACCESSORIES","Yes","MOP,DUST,MICROFIBER,36'',GREEN,HYGEN,105456,FGQ43600GROO,Rubbermaid,,309,,36L x 5.5W x 5H","1","USD","141.950","CS","","","CS","1","141.950","NEWELL BRANDS DISTRIBUTION,LLC","FGQ43600GR00","","1","999999","","No","","","05/01/2022","12/31/2099","","105456.jpg","https://www.nacorporation.com/ItemImages/Summit/105456.jpg"
"","9276","Material","105580","105580","TRUCK,TILT,1 CUBIC YARD,BLACK","Industrial strength construction transports heavy loads with ease.  Easy to handle and maneuver through commercial doorways and onto elevators.  Constant force design allows for controlled dumping by one person.  Inset wheels1 cubic yard models only protect  walls, fixtures and patrons.  Smooth surface is easy to clean and resists pitting and corroding.  Size 1 Cubic Yard1250 lbs. Color Black QtyCs 1 Manufacturer Rubbermaid","","JANITOR CARTS AND ACCESSORIES","Yes","Rotomolded Tilt Truck,105580,1315,Rubbermaid,,328,1,1 Cubic Yard/1250 lbs.","1","USD","828.450","EA","","","EA","1","828.450","NEWELL BRANDS DISTRIBUTION,LLC","FG131500BLA","","1","999999","","No","","","04/26/2022","12/31/2099","","105580.jpg","https://www.nacorporation.com/ItemImages/Summit/105580.jpg"
"","9277","Material","105596","105596","SOAP,HAND,BULK,FOAM,BASICS,41","Aloe containing soap is mild and gentle on skin. Its rich foaming lather rinses clean and provides a pleasing handwashing experience. Dermatologisttested and hypoallergenic formula is excellent for frequent hand washing and perfect for any commercial setting. Soap Type Foam Application Hand Capacity Volume 1 gal Scent Honeysuckle.   Global Product Type Personal SoapsFoam   Soap Type Foam   Application Hand   Capacity Volume 1 gal   Scent Honeysuckle   Packing Type Bottle   Colors Light Green   Compliance Standards Green Seal Certified   PreConsumer Recycled Content Percent 0  PostConsumer Recycled Content Percent 0  Total Recycled Content Percent 0,this   More... ","","HAND CLEANERS AND DISPENSERS","Yes","Hand,Light Green,Personal Soaps-Foam","1","USD","78.600","CS","","","CS","1","78.600","Essendant","DIA98612CT","","1","999999","","No","","","11/15/2022","12/31/2099","","105596.JPG","https://www.nacorporation.com/ItemImages/Essendant/105596.JPG"
"","9323","Material","110836","110836","PADS,FLOOR,TRAPEZOID,TRIZACT,G","","","JANITOR CARTS AND ACCESSORIES","Yes","","1","USD","576.440","CS","","","CS","1","576.440","3M Commercial Care","70071660743","","1","999999","","No","","","12/31/2022","12/31/2099","","110836.jpg","https://www.nacorporation.com/ItemImages/Summit/110836.jpg"
"","10561","Material","PRO140","PRO140","FLOOR TOOL XOVER","","","","Yes","","1","USD","32.030","EA","","","EA","1","32.030","ProTeam","107016","","1","999999","","No","","","10/20/2022","12/31/2099","","PRO140.jpg","https://www.nacorporation.com/ItemImages/Summit/PRO140.jpg"
"","10562","Material","PRO176","PRO176","VAC FILTER,EXHAUST,PROTEAM","","","","Yes","EXHAUST FILTER,PRO176,,ProTeam,,0","1","USD","3.920","EA","","","EA","1","3.920","ProTeam","107005","","1","999999","","No","","","10/20/2022","12/31/2099","","PRO176.jpg","https://www.nacorporation.com/ItemImages/Summit/PRO176.jpg"
"","10563","Material","PRO204","PRO204","1500XP HEPA POWER NOZZLE COVER","","","JANITORIAL/CLEANING CHEMICALS","Yes","1500XP HEPA POWER NOZZLE COVER,PRO204,,ProTeam,,0","1","USD","21.340","EA","","","EA","1","21.340","ProTeam","107282","","1","999999","","No","","","10/20/2022","12/31/2099","","",""
"","10564","Material","PRO209","PRO209","POWER CORD WSTRAIN RELIEF 50","","","","Yes","","1","USD","29.000","EA","","","EA","1","29.000","ProTeam","834740-1","","1","999999","","No","","","10/20/2022","12/31/2099","","PRO209.jpg","https://www.nacorporation.com/ItemImages/Summit/PRO209.jpg"
